donor,day,condition,exp,age_gain,identity_cost,safety_risk,safety_pos_count,case
O1,10,failed_intermediate,exp2,5.836802039458846,1.3834714067522227,13.9896097183228,3,case_2.identity_or_safety_break
O1,10,failed_to_reprogram,exp2,-7.235232011804449,0.25321115885249296,8.971116542816159,5,case_0.no_age_gain
O1,10,transient_intermediate,exp2,19.694176136052782,2.1997578359053596,13.14366722106934,5,case_2.identity_or_safety_break
O1,10,transiently_reprogrammed,exp2,5.836975050152674,1.2706174915941866,7.55105662345886,5,case_2.identity_or_safety_break
O1,13,failed_to_reprogram,exp1,10.45660866220608,0.5410808774526051,7.7295554,2,case_2.identity_or_safety_break
O1,13,failed_intermediate,exp2,3.6386453170019664,1.5182560003228074,14.261111497879021,4,case_2.identity_or_safety_break
O1,13,failed_to_reprogram,exp2,7.531688999159485,0.9196182504085282,8.91236734390258,2,case_2.identity_or_safety_break
O1,13,transient_intermediate,exp2,20.744332194151575,1.988980024691605,13.342252016067501,5,case_2.identity_or_safety_break
O1,15,failed_to_reprogram,exp1,6.741137851214084,0.8500779030590686,7.107952,5,case_2.identity_or_safety_break
O1,15,failed_intermediate,exp2,5.255015830338223,1.5330916581724097,14.47078561782836,5,case_2.identity_or_safety_break
O1,15,failed_to_reprogram,exp2,-6.802627047349681,1.0048674161717877,9.77953815460205,5,case_0.no_age_gain
O1,15,transient_intermediate,exp2,21.49375898805406,2.116012488792399,13.29723024368287,5,case_2.identity_or_safety_break
O1,17,failed_to_reprogram,exp1,10.813206416827455,0.55584345976849,7.4366619,2,case_2.identity_or_safety_break
O1,17,transiently_reprogrammed,exp1,6.170746491303646,1.078682504254537,8.8192149,2,case_2.identity_or_safety_break
O1,17,failed_intermediate,exp2,2.067876598203206,1.6279765602778797,14.60604906082155,5,case_2.identity_or_safety_break
O1,17,failed_to_reprogram,exp2,5.302123211710871,0.9089484552527033,8.98837113380432,5,case_2.identity_or_safety_break
O1,17,transient_intermediate,exp2,32.78550377314422,2.6003206519151094,13.23628854751587,5,case_2.identity_or_safety_break
O2,10,failed_intermediate,exp2,-1.4504129816804792,1.5501488004778317,13.79730772972109,3,case_0.no_age_gain
O2,10,failed_to_reprogram,exp2,1.7100793206235778,0.28904604669429274,7.845007658004761,2,case_2.identity_or_safety_break
O2,10,transient_intermediate,exp2,16.512385487574015,2.1207787324351615,13.49087119102478,5,case_2.identity_or_safety_break
O2,10,transiently_reprogrammed,exp2,30.333047000213497,1.1381672435579033,7.31002140045166,2,case_2.identity_or_safety_break
O2,13,failed_to_reprogram,exp1,5.085992081265417,0.4329003535038161,7.8097942,2,case_2.identity_or_safety_break
O2,13,transiently_reprogrammed,exp1,37.09667564333858,1.0221205237242335,6.6940656,2,case_2.identity_or_safety_break
O2,13,failed_intermediate,exp2,4.066305254761801,1.6175297814011227,14.443037986755389,3,case_2.identity_or_safety_break
O2,13,failed_to_reprogram,exp2,8.685328261485125,0.6030314937040264,9.0610637664795,5,case_2.identity_or_safety_break
O2,13,transient_intermediate,exp2,25.280610013830476,2.04214740946117,13.570926666259759,5,case_2.identity_or_safety_break
O2,13,transiently_reprogrammed,exp2,-8.7540355015675,1.1235206790088506,9.04214859008789,5,case_0.no_age_gain
O2,15,failed_to_reprogram,exp1,-7.137004786629092,0.8441879115182533,7.5827942,5,case_0.no_age_gain
O2,15,failed_intermediate,exp2,6.056821485027406,1.5244223922699411,14.45365524291994,5,case_2.identity_or_safety_break
O2,15,failed_to_reprogram,exp2,8.363355239320562,0.7148566774084846,10.52731394767761,5,case_2.identity_or_safety_break
O2,15,transient_intermediate,exp2,38.61886226473755,2.276844821792174,13.48914813995361,5,case_2.identity_or_safety_break
O2,17,failed_to_reprogram,exp1,11.361848743724359,0.5193689668907231,8.1471557,2,case_2.identity_or_safety_break
O2,17,transiently_reprogrammed,exp1,-8.18704111259035,1.580420703539569,2.0207425,5,case_0.no_age_gain
